Page,OriginalDate,DaysSinceStart,Prompt
2215,2009-06-30,78,Dave: Bleat like a goat and piss on your turntable.
2216,2009-06-30,78,==>
2217,2009-06-30,78,Dave: Examine closet.
2218,2009-06-30,78,Dave: Check the blue box.
2219,2009-06-30,78,Dave: Take box.
2220,2009-07-01,79,Dave: Examine jar of unknown yellow substance in the closet.
2221,2009-07-01,79,Dave: Take juice.
2222,2009-07-02,80,Dave: Access Pesterchum and pester John.
2223,2009-07-02,80,==>
2224,2009-07-02,80,==>
2225,2009-07-03,81,Dave: Go online and view sites indicative of your interests.
2226,2009-07-03,81,==>
2227,2009-07-04,82,Dave: Check the latest page of the Midnight Crew.
2228,2009-07-04,82,Midnight Crew.
2229,2009-07-04,82,Use Occam's Razor on plans and schemes.
2230,2009-07-04,82,SS: Climb ladder and exit hideout. Implement nefarious plots
2231,2009-07-04,82,Dave: Skip ahead a hundred pages or so.
2232,2009-07-04,82,"Dave: Save your place, read it later."
2233,2009-07-04,82,Dave: Answer chum.
2234,2009-07-04,82,JOHN WHAT ARE YOU DOING. STOP DOING NOTHING.
2235,2009-07-04,82,==> ??
2236,2009-07-04,82,TROUBLING. INVESTIGATE THIS.
2237,2009-07-04,82,Dave: Play some hauntingly sick beats.
2238,2009-07-04,82,[S] ==>
2239,2009-07-06,84,"Dave: Take sip of the apple juice, despite what John said."
2240,2009-07-06,84,==>
2241,2009-07-06,84,==>
2242,2009-07-06,84,Dave: Allocate sword to strife specibus.
2243,2009-07-06,84,Dave: Captchalogue sword.
2244,2009-07-07,85,Dave: Get a towel or something!
2245,2009-07-07,85,==>
2246,2009-07-08,86,Dave: Captchalogue damp towel.
2247,2009-07-08,86,Dave: Search the bathroom for something slightly less damp.
2248,2009-07-08,86,Dave: Take towel.
2249,2009-07-08,86,Dave: Clean up the juice.
2250,2009-07-08,86,==>
2251,2009-07-09,87,Dave: Turn off the fan.
2252,2009-07-09,87,==>
2253,2009-07-09,87,==>
2254,2009-07-09,87,==>
2255,2009-07-09,87,==>
2256,2009-07-09,87,==>
2257,2009-07-10,88,Dave: Look out window.
2258,2009-07-10,88,==>
2259,2009-07-10,88,==>
2260,2009-07-11,89,Rose: Psychoanalyze mother's love of wizards.
2261,2009-07-11,89,Rose: Go downstairs to the kitchen back door.
2262,2009-07-11,89,Rose: View Mother's solid copper vacuum statue.
2263,2009-07-11,89,Rose: Grab the Eldritch Princess.
2264,2009-07-11,89,Rose: Acquire umbrella for protection from elements.
2265,2009-07-12,90,Rose: Peek inside kitchen.
2266,2009-07-12,90,Rose: Investigate richly colored object in middle of screen.
2267,2009-07-12,90,==>
2268,2009-07-12,90,==>
2269,2009-07-12,90,==>
2270,2009-07-13,91,Rose: Attach a W to face as a fake moustache.
2271,2009-07-13,91,Rose: Captchalogue W.
2272,2009-07-13,91,==>
2273,2009-07-13,91,Rose: Think of ways to one-up mother.
2274,2009-07-13,91,Rose: Captchalogue velvet pillow.
2275,2009-07-13,91,==>
2276,2009-07-13,91,Rose: Head out the back door.
2277,2009-07-13,91,==>
2278,2009-07-15,93,"Rose: Hop over counter, landing in a roll."
2279,2009-07-15,93,==>
2280,2009-07-15,93,==>
2281,2009-07-16,94,"Meanwhile, in the past again."
2282,2009-07-16,94,Dave: Answer chum.
2283,2009-07-16,94,Dave: Get phone.
2284,2009-07-16,94,==>
2285,2009-07-17,95,"JOHN, PURSUE ADVERSARY INTO THAT ROOM."
2286,2009-07-17,95,THIS CHUM WILL KNOW WHAT TO DO.
2287,2009-07-17,95,READ YOUR BOOK. STAY WARY OF THESE FOES.
2288,2009-07-19,97,[S] Rose: Youth roll right out the front door.
2289,2009-07-20,98,==>
2290,2009-07-20,98,"Rose: First, be the pony. Second, trample Mom."
2291,2009-07-20,98,JOHN TURN AROUND!!!!!
2292,2009-07-22,100,==>!!!
2293,2009-07-22,100,[S] ==>==>==>!!!!!!!!!
2294,2009-07-23,101,Rose: Exit.
2295,2009-07-23,101,Rose: Use umbrella.
2296,2009-07-23,101,==>
2297,2009-07-23,101,"[S] GET UP JOHN, THIS IS NO TIME FOR SLUMBER."
2298,2009-07-24,102,Rose: Forget the W and make haste to the mausoleum.
2299,2009-07-24,102,==>
2300,2009-07-25,103,"[S] JOHN, SALVAGE YOUR WEAPON AND FIGHT ON!"
2301,2009-07-27,105,YOU SAID
2302,2009-07-27,105,PUT THE BUNNY
2303,2009-07-27,105,BACK IN
2304,2009-07-27,105,THE BOX!!!!!!
2305,2009-07-27,105,"NOW EXULT. VICTORY, SPOILS ARE YOURS."
2306,2009-07-27,105,==>
2307,2009-07-28,106,WHAT ABOUT THAT CARD.
2308,2009-07-28,106,OK.
2309,2009-07-29,107,GATHER THE SCATTERED BITS OF YOUR LARGE HAMMER.
2310,2009-07-29,107,NOW REPAIR THE HAMMER.
2311,2009-07-29,107,FINE. NOW WHAT
2312,2009-07-29,107,==>
2313,2009-07-29,107,Rose: Hurry and activate the generator!
2314,2009-07-29,107,Rose: Defile tomb.
2315,2009-07-30,108,Rose: Plug in your laptop.
2316,2009-07-30,108,"THE DOOR, JOHN. LOOK AT THE DOOR."
2317,2009-07-30,108,INCREDIBLY ALARMING. INVESTIGATE.
2318,2009-07-30,108,[S] WHAT THIS IS SO OUTRAGEOUS
2319,2009-07-30,108,Rose: Pester John.
2320,2009-07-31,109,INTERROGATE THIS MADWOMAN.
2321,2009-07-31,109,==>
2322,2009-08-01,110,[S] GO ON. ==>
2323,2009-08-01,110,==>
2324,2009-08-02,111,ME?? ==>
2325,2009-08-02,111,A QUEST OF FUTILITY THEN. ==>
2326,2009-08-03,112,==>!
2327,2009-08-03,112,==>?
2328,2009-08-03,112,YES I WILL HAVE TO AGREE WITH THE FLOAT HAG ABOUT THAT.
2329,2009-08-03,112,THE HAG MENTIONED COOKIES. PURSUE HER.
2330,2009-08-03,112,JOHN YOU DO NOT SAY NO TO COOKIES. I COMMAND YOU TO GET THEM
2331,2009-08-03,112,Rose: Hit John in the head with box to get his attention.
2332,2009-08-03,112,==>
2333,2009-08-03,112,==>
2334,2009-08-04,113,JOHN. COOKIES. NOW.
2335,2009-08-04,113,THIS IMPUDENCE IS INSUFFERABLE. GO GET THE COOKIES!!!!!!
2336,2009-08-04,113,JOHN YOU ARE STUPID.
2337,2009-08-04,113,STUPID STUPID DUMB
2338,2009-08-04,113,FOR THE LAST TIME I COMMAnd you to get the cookies boy
2339,2009-08-04,113,Years in the future...
2340,2009-08-05,114,==>
2341,2009-08-05,114,"Months in the past, but not many..."
2342,2009-08-05,114,==>
2343,2009-08-07,116,Dave: Get katana.
2344,2009-08-07,116,[S] Dave: Retrieve dead bird.
2345,2009-08-07,116,"Dave: Exit your room, and go into the living room."
2346,2009-08-09,118,Dave: Hastily enter the room with wild abandon.
2347,2009-08-09,118,==>
2348,2009-08-09,118,Dave: Pity da fool.
2349,2009-08-09,118,Dave: Find Lil' Cal and give fistbumps.
2350,2009-08-09,118,Dave: Play a game on the Xbox.
2351,2009-08-09,118,==>
2352,2009-08-10,119,Dave: Resist great urge to play Bro's Xbox.
2353,2009-08-10,119,Dave: Give Lil' Cal a bro fistbump.
2354,2009-08-10,119,==>
2355,2009-08-10,119,Dave: Check out your BRO's sweet gear.
2356,2009-08-11,120,Dave: Look at your brother's computer.
2357,2009-08-11,120,==>
2358,2009-08-11,120,Dave: Open Complete Bullshit.
2359,2009-08-11,120,Dave: Check if Sweet Bro and Hella Jeff has a sweet update.
2360,2009-08-12,121,Dave: Mouse over the orange stripe containing PlushRump.
2361,2009-08-12,121,Dave: Stop wasting time and look for Bro's beta.
2362,2009-08-12,121,==>
2363,2009-08-12,121,==>
2364,2009-08-12,121,Dave: Give Lil Cal a nervous fist bump.
2365,2009-08-12,121,==>
2366,2009-08-13,122,Dave: Pester John to ease your nerves.
2367,2009-08-13,122,==>
2368,2009-08-13,122,==>
2369,2009-08-13,122,Dave: Pester Rose.
2370,2009-08-14,123,"Seconds in the future, but not many..."
2371,2009-08-14,123,Rose: Deploy the Punch Designix.
2372,2009-08-14,123,==>
2373,2009-08-14,123,==>
2374,2009-08-15,124,John: Rebuild the claw hammer and return it to specibus.
2375,2009-08-15,124,John: Confront Pogo Ride to prepare yourself for Nanna.
2376,2009-08-15,124,[S] ==>
2377,2009-08-15,124,Rose: Drop something heavy on one of those imps.
2378,2009-08-15,124,==>
2379,2009-08-15,124,Rose: Use pogo ride to fling grist through window.
2380,2009-08-15,124,==>
2381,2009-08-16,125,Rose: Drop pogo ride in John's bathroom.
2382,2009-08-16,125,John: Get grist.
2383,2009-08-16,125,Piano: Level up for slaying the imp.
2384,2009-08-16,125,Rose: It's time to build.
2385,2009-08-16,125,==>
2386,2009-08-16,125,Rose: Use build grist to construct observation tower on roof
2387,2009-08-16,125,John: Check cabinets for imps or useful items.
2388,2009-08-16,125,John: Bring 2 cans of shaving cream.
2389,2009-08-16,125,John: Ride pogo ride.
2390,2009-08-16,125,==>
2391,2009-08-17,126,"Rose: Check up on Nannaquin, see what's cookin'!"
2392,2009-08-17,126,==>
2393,2009-08-17,126,John: Make your way to the study.
2394,2009-08-17,126,==>
2395,2009-08-18,127,John: Ride Slimer pogo and one-up that imp.
2396,2009-08-18,127,John: Ride your steed to victory.
2397,2009-08-18,127,==>
2398,2009-08-18,127,John: Flip the fuck out.
2399,2009-08-18,127,==>
2400,2009-08-19,128,"mister john, respectfully ask that you please stand up."
2401,2009-08-19,128,"now sir boy, flee from this boorish rabble post haste."
2402,2009-08-19,128,==>
2403,2009-08-19,128,Refrigerator: Level up for slaying the imp.
2404,2009-08-19,128,"well done, john. polite congratulations."
2405,2009-08-19,128,"now my civil fellow, i have a well mannered query to ask"
2406,2009-08-19,128,Rose: Drop something heavy on one of those imps.
2407,2009-08-19,128,john might i bother you for a can opener?
2408,2009-08-19,128,==>
2409,2009-08-20,129,Years in the future...
2410,2009-08-21,130,==>
2411,2009-08-21,130,Rose: Construct loft above John's room.
2412,2009-08-21,130,==>
2413,2009-08-21,130,==>
2414,2009-08-22,131,"fellow john, it appears we have reached an impasse"
2415,2009-08-22,131,"the opener dilemma remains unsettled, most unfortunately"
2416,2009-08-22,131,but it has been a pleasure nonetheless.
2417,2009-08-22,131,"oh, but thank you"
2418,2009-08-22,131,"thank you so very very much, dear favorable small primate"
2419,2009-08-22,131,i shall take my leave now john. until next time
2420,2009-08-22,131,"John: Gather grist, examine designix."
2421,2009-08-22,131,==>
2422,2009-08-22,131,Rose: Answer Dave.
2423,2009-08-23,132,John: Observe back of the first visible captchalogue card.
2424,2009-08-23,132,John: Examine reverse side of hammer card in strife specibus
2425,2009-08-23,132,John: Enter captcha code as seen on back of pogo ride card.
2426,2009-08-23,132,John: Insert card.
2427,2009-08-23,132,John: Type in nZ7Un6BI
2428,2009-08-23,132,John: Attempt to retrieve pogo from card.
2429,2009-08-23,132,John: Mash keys heedlessly.
2430,2009-08-23,132,==>
2431,2009-08-23,132,==>
2432,2009-08-23,132,==>
2433,2009-08-25,134,==>
2434,2009-08-25,134,==>
2435,2009-08-25,134,==>
2436,2009-08-25,134,==>
2437,2009-08-25,134,John: Answer your chums.
2438,2009-08-26,135,==>
2439,2009-08-26,135,==>
2440,2009-08-26,135,Rose: Move punched cards to John's room.
2441,2009-08-26,135,Rose: Drag some cruxite dowels up to John's room.
2442,2009-08-27,136,"John: Collect grist, examine safe."
2443,2009-08-27,136,John: Examine family tome of humour.
2444,2009-08-27,136,John: Examine contents of safe.
2445,2009-08-27,136,==>
2446,2009-08-27,136,John: Look at the piece of paper taped to the wall.
2447,2009-08-27,136,John: Turn the card over.
2448,2009-08-27,136,John: Examine back of captchalogue card on floor.
2449,2009-08-27,136,John: Captchalogue the card.
2450,2009-08-27,136,John: Enter code on back of card into designix.
2451,2009-08-27,136,John: Punch card.
2452,2009-08-27,136,John: Throw hat down in disgust.
2453,2009-08-28,137,John: Captchalogue punched captchalogued captchalogue card.
2454,2009-08-28,137,John: Take PDA.
2455,2009-08-28,137,John: Level up!
2456,2009-08-29,138,Colonel Sassacre: Level up for slaying the imp.
2457,2009-08-29,138,Bathtub: Level up for slaying the imp.
2458,2009-08-29,138,Safe: Level up for slaying the imp.
